idINS,lon,lat,sprincp,cconac,type
r200N2279800E3952600,5.452845662,43.52646767,100,4721Z,alim
r200N2279800E3952600,5.452440537,43.52682829,37,4724Z,alim
r200N2280200E3952200,5.447735617,43.53056785,44,4729Z,alim
r200N2278000E3954200,5.473178499,43.51266885,45,4725Z,alim
r200N2277800E3948400,5.401879037,43.50783856,316,4725Z,alim
r200N2286600E3946400,5.371244679,43.5856702,293,4725Z,alim
r200N2280800E3949400,5.412920282,43.53449695,70,4729Z,alim
r200N2280000E3952000,5.446262478,43.52967943,27,4729Z,alim
r200N2280200E3952200,5.447479917,43.53053315,40,4721Z,alim
r200N2279800E3952600,5.451520791,43.52741217,86,4724Z,alim
r200N2283200E3950200,5.419692059,43.5558312,42,4729Z,alim
r200N2280000E3952200,5.447954232,43.52879421,178,4729Z,alim
r200N2279600E3946200,5.3745288,43.5225374,110,4729Z,alim
r200N2280200E3952200,5.448185296,43.53033783,22,4725Z,alim
r200N2280000E3952200,5.447065428,43.52804167,69,4729Z,alim
r200N2279800E3952000,5.445724883,43.52768771,30,4725Z,alim
r200N2279800E3951800,5.442089204,43.52663009,52,4725Z,alim
r200N2279800E3951800,5.442089204,43.52663009,80,4724Z,alim
r200N2276800E3944200,5.352179852,43.4957517,204,4729Z,alim
r200N2277800E3948400,5.403258104,43.50647244,100,4722Z,alim
r200N2279600E3952600,5.452926859,43.52596976,115,4729Z,alim
r200N2282600E3950800,5.427530927,43.55086013,340,4724Z,alim
r200N2275400E3946400,5.379259014,43.48394187,1043,4725Z,alim
r200N2281000E3952800,5.453215202,43.53770717,28,4724Z,alim
r200N2276400E3943200,5.33989827,43.49144522,430,4729Z,alim
r200N2281000E3947800,5.392154142,43.53503271,97,4725Z,alim
r200N2279600E3952600,5.45363982,43.52530786,30,4722Z,alim
r200N2279800E3951800,5.443686009,43.5263442,92,4724Z,alim
r200N2285400E3950000,5.417915822,43.57585176,251,4721Z,alim
r200N2280800E3949600,5.415488744,43.53448218,197,4721Z,alim
r200N2277800E3951600,5.440535715,43.50895692,30,4729Z,alim
r200N2275400E3946400,5.379841044,43.48430852,156,4725Z,alim
r200N2284600E3951400,5.433382846,43.57029957,50,4721Z,alim
r200N2268400E3919600,5.055088797,43.40615055,31,4723Z,alim
r200N2268000E3919800,5.056943684,43.40282196,30,4722Z,alim
r200N2268000E3919800,5.05723223,43.40208863,60,4722Z,alim
r200N2268000E3919600,5.055577282,43.40151125,18,4729Z,alim
r200N2264000E3922000,5.087498369,43.36769637,43,4725Z,alim
r200N2268600E3919800,5.056184687,43.40841449,22,4722Z,alim
r200N2268000E3919600,5.055278147,43.40134643,60,4722Z,alim
r200N2261000E3919000,5.053373297,43.33867071,35,4722Z,alim
r200N2261000E3919000,5.053373297,43.33867071,61,4721Z,alim
r200N2268600E3919600,5.05443608,43.40802192,60,4722Z,alim
r200N2268000E3919800,5.057096829,43.40308249,37,4722Z,alim
r200N2270000E3920000,5.057457036,43.42088322,97,4729Z,alim
r200N2295400E3925000,5.099591711,43.65283147,55,4722Z,alim
r200N2294400E3921600,5.058870206,43.64063761,170,4724Z,alim
r200N2295000E3924400,5.094350494,43.6472867,50,4722Z,alim
r200N2293800E3924600,5.096865435,43.63744642,230,4722Z,alim
r200N2294200E3924600,5.097802711,43.6414632,40,4725Z,alim
r200N2292800E3925800,5.11354637,43.62861888,500,4722Z,alim
r200N2294200E3923600,5.083713495,43.64111061,546,4721Z,alim
