idINS,osm_id,name,brand,shop,lon,lat
r200N2278000E3948800,88770900,Decathlon,Decathlon,sports,5.406397256,43.50843808
r200N2253800E3962600,92610653,Decathlon,Decathlon,sports,5.593468339,43.29773872
r200N2269400E3947600,92763690,Decathlon,Decathlon,sports,5.398165696,43.43146243
r200N2271200E3919200,99122281,Decathlon,Decathlon,sports,5.048136049,43.4310997
r200N2248200E3946200,153535990,Decathlon,Decathlon,sports,5.396603647,43.23964135
r200N2282200E3912600,179260570,Decathlon,Decathlon,sports,4.958728181,43.52668081
r200N2270800E3936200,402366234,Decathlon,Decathlon,sports,5.256370644,43.43639995
r200N2253400E3953600,491899564,Decathlon,Decathlon,sports,5.482225704,43.29093852
r200N2255800E3944000,3762543157,Decathlon,Decathlon,sports,5.3641746,43.30706319
r200N2268200E3944600,67538304,Intersport,Intersport,sports,5.362188893,43.41843856
r200N2293200E3924600,3955878872,Intersport,Intersport,sports,5.0977137,43.63163779
r200N2253600E3953000,5339348051,Intersport,Intersport,sports,5.4760124,43.29148369
r200N2262200E3943400,8983934149,Intersport,Intersport,sports,5.3509466,43.36439759
r200N2296400E3957600,11178434290,Intersport,Intersport,sports,5.5033023,43.68036269
r200N2281800E3913000,11942334591,Intersport,Intersport,sports,4.9638592,43.52247159
r200N2280600E3950000,11966032039,Intersport,Intersport,sports,5.4201475,43.53330949
r200N2279200E3913800,2345340218,Sport 2000,Sport 2000,sports,4.9760738,43.49941219
r200N2241600E3962600,3055123928,Sport 2000,Sport 2000,sports,5.6027895,43.18897089
r200N2292600E3925800,3703453639,Sport 2000,Sport 2000,sports,5.1136275,43.62780359
r200N2254000E3953200,5339348052,Sport 2000,Sport 2000,sports,5.4778202,43.29485519
r200N2268600E3944200,5471312394,Sport 2000,Sport 2000,sports,5.3579807,43.42134779
r200N2294000E3924800,11163378753,Sport 2000,Sport 2000,sports,5.0987399,43.63911189
r200N2253800E3953600,50803186,Leroy Merlin,Leroy Merlin,doityourself,5.482911688,43.29286497
r200N2268800E3945000,67542349,Leroy Merlin,Leroy Merlin,doityourself,5.366120582,43.42382018
r200N2253400E3962800,92603348,Leroy Merlin,Leroy Merlin,doityourself,5.596816877,43.29452088
r200N2270600E3919400,99100019,Leroy Merlin,Leroy Merlin,doityourself,5.051057071,43.42554995
r200N2270600E3919400,257070714,Leroy Merlin,Leroy Merlin,doityourself,5.049983186,43.42554058
r200N2253200E3962800,623150612,Leroy Merlin matériaux,Leroy Merlin,doityourself,5.595625496,43.29361275
r200N2262200E3943600,8988095767,Leroy Merlin,Leroy Merlin,doityourself,5.3536046,43.36309889
r200N2277800E3948800,88763975,Castorama,Castorama,doityourself,5.40768626,43.50708754
r200N2277800E3948800,88768862,Castorama,Castorama,doityourself,5.407024509,43.50728536
r200N2277800E3948800,88772984,Castorama,Castorama,doityourself,5.407893768,43.50772814
r200N2270000E3937000,101237022,Castorama,Castorama,doityourself,5.266473748,43.43042387
r200N2252800E3948800,231940931,Castorama,Castorama,doityourself,5.424892861,43.28290258
r200N2267800E3944200,1798709424,Castorama,Castorama,doityourself,5.3588884,43.41489149
r200N2270400E3936200,2172322465,Castorama,Castorama,doityourself,5.2582834,43.43434639
r200N2252200E3945800,154611132,Bricorama,Bricorama,doityourself,5.389174092,43.27473589
r200N2279800E3951800,305970068,Bricorama,Bricorama,doityourself,5.4429903,43.52723349
r200N2253800E3944000,7188418940,Bricorama,Bricorama,doityourself,5.3654534,43.28853569
r200N2255800E3947800,50133490,Weldom,Weldom,doityourself,5.411403161,43.3083235
r200N2263800E3963600,158277419,Weldom,Weldom,doityourself,5.59875717,43.38924686
r200N2281800E3912600,179260548,Weldom,Weldom,doityourself,4.959435846,43.52198128
r200N2249600E3946400,799549617,Weldom,Weldom,doityourself,5.3987206,43.25169149
r200N2249600E3948200,1801732968,Weldom,Weldom,doityourself,5.4205344,43.25216319
r200N2254800E3946600,1897947126,Weldom,Weldom,doityourself,5.396948,43.29868429
r200N2293200E3924600,2595613132,Weldom,Weldom,doityourself,5.0970861,43.63141839
r200N2258600E3951600,4846567029,Weldom Croix-Rouge,Weldom,doityourself,5.4548245,43.33505829
r200N2269000E3959200,156552719,Mr.Bricolage,Mr.Bricolage,doityourself,5.540790448,43.43442318
r200N2298000E3956600,800350380,Mr.Bricolage,Mr.Bricolage,doityourself,5.489539434,43.69289619
r200N2254200E3944800,2039908805,Mr.Bricolage,Mr.Bricolage,doityourself,5.3748084,43.29301079
r200N2253400E3945600,5217832543,Mr.Bricolage,Mr.Bricolage,doityourself,5.385244,43.28588349
r200N2280400E3952000,6856030530,Mr.Bricolage,Mr.Bricolage,doityourself,5.445838,43.53255399
r200N2241400E3962800,12584881445,Mr.Bricolage,Mr.Bricolage,doityourself,5.6047015,43.18754039
r200N2244600E3957800,76018152,Spar,Spar,supermarket,5.539719994,43.21352198
r200N2269800E3971000,129067051,Spar,Spar,supermarket,5.684863952,43.44779695
r200N2251400E3947200,153559837,Spar,Spar,supermarket,5.406648955,43.26946821
r200N2264200E3959800,286223664,Spar,Spar,supermarket,5.551427455,43.39127394
r200N2266400E3935400,1094328224,Spar,Spar,supermarket,5.250230101,43.39777222
r200N2249000E3946600,308239320,Spar,Spar,supermarket,5.4010833,43.24738009
r200N2269200E3919200,890588172,Spar,Spar,supermarket,5.0505947,43.41221469
r200N2254400E3944800,997670266,Spar,Spar,supermarket,5.3746669,43.29336439
