SDOM,TYPEQU,NOMRS,CAPACITE,type,idINS,lon,lat
C1,C107,ECOLE MATERNELLE PUBLIQUE CHATEAU DOUBLE,127,Ecole élémentaire,r200N2280200E3950200,5.423490613,43.53035941
C1,C107,ECOLE MATERNELLE PUBLIQUE JOSEPH D'ARBAUD,103,Ecole élémentaire,r200N2280000E3949600,5.415961021,43.52782692
C1,C107,ECOLE MATERNELLE PUBLIQUE FLORALIES (LES,78,Ecole élémentaire,r200N2278600E3951200,5.43557794,43.51594901
C1,C107,ECOLE MATERNELLE PUBLIQUE COUTHERON FONTROUSSE,75,Ecole élémentaire,r200N2287800E3952600,5.446232664,43.59908326
C1,C107,ECOLE MATERNELLE PUBLIQUE ALPHONSE DAUDET,80,Ecole élémentaire,r200N2280800E3954000,5.469306886,43.53797146
C1,C107,ECOLE MATERNELLE PUBLIQUE CUQUES (DE,78,Ecole élémentaire,r200N2279000E3952800,5.454462178,43.52036819
C1,C107,ECOLE MATERNELLE PUBLIQUE EDOUARD PEISSON,131,Ecole élémentaire,r200N2275000E3949600,5.419646061,43.481947
C1,C107,ECOLE MATERNELLE PUBLIQUE JULES PAYOT,82,Ecole élémentaire,r200N2279600E3949400,5.414410965,43.52292822
C1,C107,ECOLE MATERNELLE PUBLIQUE JACQUES PREVERT,91,Ecole élémentaire,r200N2279800E3951000,5.432928795,43.52642481
C1,C107,ECOLE MATERNELLE PUBLIQUE MARESCHALE (LA,69,Ecole élémentaire,r200N2279600E3951000,5.433298397,43.52525867
C1,C107,ECOLE MATERNELLE PUBLIQUE JEAN MAUREL,103,Ecole élémentaire,r200N2286200E3950400,5.422208219,43.58403897
C1,C107,ECOLE MATERNELLE PUBLIQUE TORSE (LA,46,Ecole élémentaire,r200N2279400E3953600,5.466502867,43.52393252
C1,C107,ECOLE MATERNELLE PUBLIQUE CAMPRA,45,Ecole élémentaire,r200N2280400E3952200,5.447426686,43.53226142
C1,C107,ECOLE MATERNELLE PUBLIQUE FELICITE (LA,97,Ecole élémentaire,r200N2278000E3950000,5.422618141,43.50967574
C1,C107,ECOLE MATERNELLE PUBLIQUE ROCHER DU DRAGON,71,Ecole élémentaire,r200N2280600E3951600,5.438513604,43.53452354
C1,C107,ECOLE MATERNELLE D APPLICATION MATERN. APPLICATION GRASSI,93,Ecole élémentaire,r200N2280600E3951800,5.443419717,43.53351302
C1,C107,ECOLE MATERNELLE PUBLIQUE CELONY,99,Ecole élémentaire,r200N2283200E3950200,5.419837133,43.55651455
C1,C107,ECOLE MATERNELLE PUBLIQUE GIONO-SCHWEITZER,125,Ecole élémentaire,r200N2279400E3950800,5.429652553,43.52191732
C1,C107,ECOLE MATERNELLE PUBLIQUE MISTRAL CORSY,83,Ecole élémentaire,r200N2280200E3950800,5.43090919,43.53033477
C1,C107,ECOLE MATERNELLE PUBLIQUE ROI RENE,74,Ecole élémentaire,r200N2279400E3952600,5.451688285,43.52432496
C1,C107,ECOLE MATERNELLE PUBLIQUE TROIS SAUTETS (LES,33,Ecole élémentaire,r200N2278600E3954000,5.469766506,43.516496
C1,C107,ECOLE MATERNELLE PUBLIQUE VAL SAINT ANDRE,75,Ecole élémentaire,r200N2278800E3953800,5.466927312,43.51927529
C1,C107,ECOLE MATERNELLE PUBLIQUE HENRI WALLON,137,Ecole élémentaire,r200N2279800E3950000,5.419542349,43.52617906
C1,C107,ECOLE MATERNELLE PUBLIQUE COLLINE DU SERRE,88,Ecole élémentaire,r200N2277400E3947600,5.392627076,43.50224045
C1,C107,ECOLE MATERNELLE PUBLIQUE PLATEAU DE L'ARBOIS,17,Ecole élémentaire,r200N2273000E3940200,5.305063934,43.45882997
C1,C107,ECOLE MATERNELLE PRIVEE PEREL,13,Ecole élémentaire,r200N2280400E3953000,5.458288958,43.53370031
C1,C107,ECOLE MATERNELLE PUBLIQUE MARCEL PAGNOL,82,Ecole élémentaire,r200N2278200E3952800,5.456131854,43.51252253
C1,C107,ECOLE MATERNELLE PUBLIQUE JULES FERRY,71,Ecole élémentaire,r200N2279200E3952400,5.449602195,43.52182962
C1,C107,ECOLE MATERNELLE D APPLICATION J.ISAAC (APPL,100,Ecole élémentaire,r200N2281400E3952800,5.453966988,43.54117198
C1,C107,ECOLE MATERNELLE PUBLIQUE DEUX ORMEAUX (LES,107,Ecole élémentaire,r200N2280400E3949600,5.416112341,43.53142411
C1,C107,ECOLE MATERNELLE PUBLIQUE GRANETTES (LES,90,Ecole élémentaire,r200N2281200E3948000,5.393838869,43.53760004
C1,C107,ECOLE MATERNELLE PUBLIQUE LAUVES,115,Ecole élémentaire,r200N2281400E3952200,5.446501938,43.54129599
C1,C107,ECOLE MATERNELLE PUBLIQUE BEAUVALLE (LA,71,Ecole élémentaire,r200N2278600E3951800,5.442899112,43.51557329
C1,C107,ECOLE MATERNELLE PUBLIQUE EUGENE BREMOND,97,Ecole élémentaire,r200N2285600E3950600,5.423167851,43.57796405
C1,C107,ECOLE MATERNELLE PUBLIQUE AUGUSTE BOYER,64,Ecole élémentaire,r200N2277800E3947600,5.391664119,43.50697785
C1,C107,ECOLE MATERNELLE D APPLICATION ARENE (APPL,78,Ecole élémentaire,r200N2279200E3950800,5.430526102,43.52120059
C1,C107,ECOLE MATERNELLE PUBLIQUE SEXTIUS,67,Ecole élémentaire,r200N2280000E3951800,5.443476459,43.52894347
C1,C108,ECOLE ELEMENTAIRE PRIVEE VAL SAINT ANDRE,115,Ecole élémentaire,r200N2278600E3953800,5.467197149,43.51645708
C1,C108,ECOLE PRIMAIRE PRIVEE SAINT FRANCOIS D'ASSISE,262,Ecole élémentaire,r200N2275400E3950200,5.42697625,43.48592025
C1,C108,ECOLE PRIMAIRE PRIVEE SAINT SER,94,Ecole élémentaire,r200N2275200E3949600,5.419868649,43.48376944
C1,C108,ECOLE PRIMAIRE PRIVEE SAINTE GENEVIEVE,248,Ecole élémentaire,r200N2280600E3950200,5.423002492,43.534015
C1,C108,ECOLE PRIMAIRE PUBLIQUE PIERRE GILLES DE GENNES,401,Ecole élémentaire,r200N2276000E3943600,5.343798912,43.48732531
C1,C108,ECOLE PRIMAIRE PRIVEE ES-EN-CIEL,64,Ecole élémentaire,r200N2284200E3949000,5.404746503,43.56449812
C1,C108,ECOLE PRIMAIRE PRIVEE NATIVITE (LA,367,Ecole élémentaire,r200N2278200E3951000,5.433922726,43.51244512
C1,C108,ECOLE PRIMAIRE PRIVEE JEANNE D ARC,199,Ecole élémentaire,r200N2279800E3952800,5.45476245,43.52819649
C1,C108,ECOLE PRIMAIRE PRIVEE SAINT JOSEPH,204,Ecole élémentaire,r200N2280200E3952600,5.452577965,43.5307621
C1,C108,ECOLE PRIMAIRE PRIVEE C.I.P.E.C,162,Ecole élémentaire,r200N2274200E3949800,5.421481557,43.47590436
C1,C108,ECOLE PRIMAIRE PRIVEE JUIVE D'AIX EN PROVENCE (EJAP,51,Ecole élémentaire,r200N2279600E3951800,5.443138359,43.52477034
C1,C108,ECOLE PRIMAIRE PUBLIQUE PLATANES (DES,132,Ecole élémentaire,r200N2280200E3952200,5.447012975,43.53073158
C1,C108,ECOLE PRIMAIRE PRIVEE SAINTE BERNADETTE,226,Ecole élémentaire,r200N2277400E3947200,5.3886474,43.50301533
C1,C108,ECOLE PRIMAIRE PUBLIQUE SIMONE VEIL,250,Ecole élémentaire,r200N2276800E3944200,5.352352033,43.49647999
C1,C108,ECOLE PRIMAIRE PRIVEE INTER. DE MEDITERRANNE (EPIM,351,Ecole élémentaire,r200N2274600E3949000,5.411093442,43.47788474
C1,C108,ECOLE PRIMAIRE PRIVEE SACRE-COEUR,284,Ecole élémentaire,r200N2279200E3954000,5.469639059,43.52313825
C1,C108,ECOLE PRIMAIRE PRIVEE SAINTE CATHERINE DE SIENNE,214,Ecole élémentaire,r200N2280200E3952600,5.451262481,43.53047587
C1,C108,ECOLE PRIMAIRE PRIVEE NOUVELLE ALLIANCE (LA,16,Ecole élémentaire,r200N2280000E3950800,5.43128873,43.52763078
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE CHATEAU DOUBLE,184,Ecole élémentaire,r200N2280200E3950200,5.422254599,43.53038701
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE MARESCHALE (LA,139,Ecole élémentaire,r200N2279800E3951000,5.433188191,43.52564163
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH ROUMANILLE,112,Ecole élémentaire,r200N2277400E3947600,5.391716827,43.50290249
C1,C109,ECOLE PRIMAIRE PRIVEE PEREL,10,Ecole élémentaire,r200N2275000E3946000,5.374437831,43.48051204
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH D'ARBAUD,170,Ecole élémentaire,r200N2280200E3949400,5.413564673,43.52968054
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE FLORALIES (LES,122,Ecole élémentaire,r200N2278600E3951200,5.435531943,43.51592601
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE COUTHERON FONTROUSSE,122,Ecole élémentaire,r200N2287800E3952600,5.4466158,43.59951635
C1,C109,ECOLE ELEMENTAIRE PUBLIQUE CUQUES (DE,150,Ecole élémentaire,r200N2279000E3952800,5.454462178,43.52036819
