IRIS	nlog	stot	nlog_ccthpV	stot_ccthpV	nlog_ccthpB	stot_ccthpB	nlog_rppoRS	stot_rppoRS	stot_vac	nlog_vac	stot_vac2a	nlog_vac2a	stot_vac5a	nlog_vac5a	INSEE_COM	NOM_COM	CODE_IRIS	NOM_IRIS	TYP_IRIS	geometry
130010101	1221	78063	246	12835	0	0	54	4626	12835	246	3029	47	1015	15	NA	NA	NA	NA	NA	list()
130010102	2184	82908	568	19642	0	0	90	3706	19642	568	4900	131	1325	32	NA	NA	NA	NA	NA	list()
130010103	1746	84327	408	18114	0	0	85	5277	18114	408	4768	78	2055	32	NA	NA	NA	NA	NA	list()
130010104	4553	192797	1100	41749	0	0	218	11323	41749	1100	8826	211	3399	73	NA	NA	NA	NA	NA	list()
130010105	1805	76496	467	17521	0	0	78	4092	17521	467	3339	79	1004	21	NA	NA	NA	NA	NA	list()
130010202	1604	84961	285	11110	0	0	77	5113	11110	285	2159	58	648	18	NA	NA	NA	NA	NA	list()
130010203	3467	198229	532	26304	0	0	155	11227	26304	532	6161	104	2314	32	NA	NA	NA	NA	NA	list()
130010204	1989	150393	249	17515	0	0	109	8847	17515	249	3594	46	1356	18	NA	NA	NA	NA	NA	list()
130010205	662	26232	201	6168	0	0	13	641	6168	201	2410	74	0	0	NA	NA	NA	NA	NA	list()
130010206	2941	170107	492	23106	1	39	112	7709	23106	492	4489	86	980	16	NA	NA	NA	NA	NA	list()
130010301	2563	139844	327	14793	0	0	72	5051	14793	327	3235	61	588	10	NA	NA	NA	NA	NA	list()
130010302	952	49425	162	6369	0	0	26	1656	6369	162	1179	21	94	2	NA	NA	NA	NA	NA	list()
130010303	1320	92622	153	9944	0	0	54	4203	9944	153	1609	25	29	1	NA	NA	NA	NA	NA	list()
130010304	1508	92498	192	9966	0	0	61	4272	9966	192	1408	27	239	4	NA	NA	NA	NA	NA	list()
130010305	1906	109213	277	11977	0	0	53	3852	11977	277	978	28	171	7	NA	NA	NA	NA	NA	list()
130010306	1833	101853	174	9249	0	0	47	2960	9249	174	1130	19	371	5	NA	NA	NA	NA	NA	list()
130010307	1126	73337	123	7455	0	0	57	3994	7455	123	753	13	154	3	NA	NA	NA	NA	NA	list()
130010401	2453	189421	262	16196	0	0	189	15180	16196	262	2435	43	537	9	NA	NA	NA	NA	NA	list()
130010402	1397	98010	165	11166	0	0	62	4479	11166	165	1748	25	612	8	NA	NA	NA	NA	NA	list()
130010403	1030	71299	104	6721	0	0	30	2285	6721	104	1020	15	116	1	NA	NA	NA	NA	NA	list()
